Technology
"Python,Django, SQL"
"Machine Learning, Python, TensorFlow"
"Large Language Models, Python, PyTorch"
"Deep Learning, Keras, Python"
"Flutter, Firebase, GraphQL"
"React Native, Node.js, MongoDB"
"iOS, Swift, Core Data"
"Android,Java,Room Persistence"
"Kotlin, Android, Firebase"
"Web Development, React, Node.js"
"Frontend, TypeScript,Angular"
"Backend, kotlin,Spring Boot"
"Full-Stack, JavaScript,Express.js"
"Cloud Computing, AWS, Python"
"AI, Python, scikit-learn"
"Data Engineering,Apache Spark, Python"
"Mobile Development, Flutter, Dart"
"Web App Development, Vue.js, Ruby on Rails"
"Game Development, Unity, C#"
